destroy protection off:
| 0 -> 8 | 10.07 | 10.07 | 10.57 | 10.57 |
| 0 -> 9 | 11.73 | 11.73 | 12.32 | 12.32 |
| 0 -> 10 | 13.55 | 13.55 | 14.23 | 14.23 |
| 0 -> 11 | 15.55 | 17.55 | 16.13 | 18.04 |
| 0 -> 12 | 20.22 | 26.89 | 20.38 | 26.52 |
| 0 -> 13 | 28.83 | 44.11 | 27.91 | 41.58 |
| 0 -> 14 | 44.32 | 75.08 | 40.91 | 67.58 |
| 0 -> 15 | 75.79 | 138.02 | 66.15 | 118.08 |
| 0 -> 16 | 83.01 | 155.80 | 72.31 | 133.57 |
| 0 -> 17 | 107.09 | 215.07 | 91.87 | 182.77 |
| 0 -> 18 | 161.43 | 349.66 | 133.74 | 288.74 |
| 0 -> 19 | 271.01 | 620.97 | 213.18 | 489.75 |
| 0 -> 20 | 482.16 | 1143.31 | 356.67 | 852.38 |
| 0 -> 21 | 593.28 | 1417.14 | 432.97 | 1044.67 |
| 0 -> 22 | 963.67 | 2329.92 | 675.21 | 1655.12 |
| 0 -> 23 | 14884.47 | 36569.46 | 9549.94 | 23956.45 |
| 0 -> 24 | 702936.61 | 1728697.64 | 427561.86 | 1074192.48 |
| 0 -> 25 | 68851100.79 | 169325190.52 | 39841524.81 | 100099586.52 |
| 1 -> 3 | 2.29 | 2.29 | 2.40 | 2.40 |
| 1 -> 4 | 3.46 | 3.46 | 3.64 | 3.64 |
| 1 -> 5 | 4.71 | 4.71 | 4.95 | 4.95 |
| 1 -> 6 | 6.05 | 6.05 | 6.35 | 6.35 |
| 1 -> 7 | 7.48 | 7.48 | 7.85 | 7.85 |
| 1 -> 8 | 9.01 | 9.01 | 9.47 | 9.47 |
| 1 -> 9 | 10.68 | 10.68 | 11.22 | 11.22 |
| 1 -> 10 | 12.50 | 12.50 | 13.12 | 13.12 |
| 1 -> 11 | 14.50 | 16.50 | 15.03 | 16.93 |
| 1 -> 12 | 19.17 | 25.83 | 19.27 | 25.42 |
| 1 -> 13 | 27.78 | 43.06 | 26.80 | 40.48 |
| 1 -> 14 | 43.26 | 74.03 | 39.80 | 66.48 |
| 1 -> 15 | 74.73 | 136.97 | 65.05 | 116.97 |
| 1 -> 16 | 81.96 | 154.75 | 71.21 | 132.47 |
| 1 -> 17 | 106.03 | 214.01 | 90.77 | 181.67 |
| 1 -> 18 | 160.38 | 348.61 | 132.63 | 287.64 |
| 1 -> 19 | 269.95 | 619.92 | 212.07 | 488.64 |
| 1 -> 20 | 481.11 | 1142.26 | 355.56 | 851.28 |
| 1 -> 21 | 592.22 | 1416.09 | 431.87 | 1043.57 |
| 1 -> 22 | 962.62 | 2328.87 | 674.10 | 1654.01 |
| 1 -> 23 | 14883.42 | 36568.41 | 9548.84 | 23955.35 |
| 1 -> 24 | 702935.56 | 1728696.59 | 427560.75 | 1074191.37 |
| 1 -> 25 | 68851099.73 | 169325189.47 | 39841523.70 | 100099585.42 |
| 2 -> 4 | 2.35 | 2.35 | 2.47 | 2.47 |
| 2 -> 5 | 3.60 | 3.60 | 3.78 | 3.78 |
| 2 -> 6 | 4.94 | 4.94 | 5.18 | 5.18 |
| 2 -> 7 | 6.36 | 6.36 | 6.68 | 6.68 |
| 2 -> 8 | 7.90 | 7.90 | 8.30 | 8.30 |
| 2 -> 9 | 9.57 | 9.57 | 10.05 | 10.05 |
| 2 -> 10 | 11.39 | 11.39 | 11.96 | 11.96 |
| 2 -> 11 | 13.39 | 15.39 | 13.86 | 15.77 |
| 2 -> 12 | 18.05 | 24.72 | 18.11 | 24.25 |
| 2 -> 13 | 26.67 | 41.95 | 25.63 | 39.31 |
| 2 -> 14 | 42.15 | 72.92 | 38.64 | 65.31 |
| 2 -> 15 | 73.62 | 135.86 | 63.88 | 115.81 |
| 2 -> 16 | 80.85 | 153.64 | 70.04 | 131.30 |
| 2 -> 17 | 104.92 | 212.90 | 89.60 | 180.50 |
| 2 -> 18 | 159.27 | 347.50 | 131.46 | 286.47 |
| 2 -> 19 | 268.84 | 618.81 | 210.90 | 487.48 |
| 2 -> 20 | 479.99 | 1141.15 | 354.39 | 850.11 |
| 2 -> 21 | 591.11 | 1414.98 | 430.70 | 1042.40 |
| 2 -> 22 | 961.51 | 2327.75 | 672.93 | 1652.85 |
| 2 -> 23 | 14882.31 | 36567.30 | 9547.67 | 23954.18 |
| 2 -> 24 | 702934.45 | 1728695.48 | 427559.58 | 1074190.20 |
| 2 -> 25 | 68851098.62 | 169325188.35 | 39841522.54 | 100099584.25 |
| 3 -> 5 | 2.43 | 2.43 | 2.55 | 2.55 |
